route,key,locale,type,severity,suggestion
(component),"t(""products.gradeflow.features.faster.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.features.fair.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.features.fair.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.features.audit.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.features.audit.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.social.quote1""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.social.author1""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.social.quote2""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.social.author2""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.hero.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.hero.subtitle"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.change.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.features.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.gradeflow.social.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""shield.hero.eyebrow"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""shield.hero.cta.primary"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""shield.trust.gdpr"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""shield.trust.ferpa"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""shield.trust.schoolReady"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""shield.howItWorks.cta"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""shield.pricing.cta"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""shield.finalCta.primary"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.features.autoplanner.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.features.autoplanner.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.features.curriculum.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.features.curriculum.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.features.gamified.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.features.gamified.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.howItWorks.step1.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.howItWorks.step1.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.howItWorks.step2.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.howItWorks.step2.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.howItWorks.step3.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.howItWorks.step3.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.whoItsFor.item1""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.whoItsFor.item2""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.whoItsFor.item3""),",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.hero.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.hero.cta.secondary"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.features.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.howItWorks.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.whoItsFor.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.change.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.social.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""products.teach.cta.secondary"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""suite.teach.cta"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""suite.draft.cta"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""suite.gradeflow.cta"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""suite.shield.cta"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""suite.cta.primary"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""suite.cta.secondary"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""nav.home"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""support.faq.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""support.resources.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""support.troubleshooting.subscription.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""terms.back"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""videos.search.placeholder"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""webinars.search.placeholder"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""webinars.labels.featured"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""webinars.buttons.waitlistFull"") : t(""webinars.buttons.registerNow"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""webinars.related.title"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""webinars.related.desc"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""webinars.related.courses.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""webinars.related.courses.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""webinars.related.glossary.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""webinars.related.glossary.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""webinars.related.community.title""),",,placeholder,low,Replace with final copy or remove
(component),"t(""webinars.related.community.desc""),",,placeholder,low,Replace with final copy or remove
(component),"t(""nav.home"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.error""),",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.consentRequired""),",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.success""),",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.successMessage""),",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.error""),",,placeholder,low,Replace with final copy or remove
